#,Chastota,Kategoriya,Bo'lim,Kalit,Ish (UZ),Ish (RU),Dalil
1,DAILY,Klinika · kunlik,Pollar,clinic.clean.floors.wash,Pollarni yuvish,Мытьё полов,
2,DAILY,Klinika · kunlik,Pollar,clinic.clean.floors.trash,Axlat yoʻqligi,Нет мусора,
3,DAILY,Klinika · kunlik,Pollar,clinic.clean.floors.dry,Quruq va xavfsiz,Сухо и безопасно,
4,DAILY,Klinika · kunlik,Pollar,clinic.clean.floors.smell,Tozalik hidi,Запах чистоты,
5,DAILY,Klinika · kunlik,Tozalik,clinic.clean.walls,Devor va mebel,Стены и мебель,
6,DAILY,Klinika · kunlik,Tozalik,clinic.clean.bath,Sanuzellar,Санузлы,
7,DAILY,Klinika · kunlik,Tozalik,clinic.clean.windows,Deraza va eshiklar,Окна и двери,
8,DAILY,Klinika · kunlik,Tozalik,clinic.clean.hall,Yoʻlak va zal,Коридоры и холл,
9,DAILY,Klinika · kunlik,Tozalik,clinic.clean.rooms,Kabinetlar tozaligi,Чистота кабинетов,
10,DAILY,Klinika · kunlik,Tozalik,clinic.clean.sterile,Sterilizatsiya zonasi,Зона стерилизации,Majburiy
11,DAILY,Klinika · kunlik,Materiallar,clinic.supplies.soap,Sovun / antiseptik,Мыло / антисептик,
12,DAILY,Klinika · kunlik,Materiallar,clinic.supplies.paper,Qogʻoz / sochiq,Бумага / полотенца,
13,DAILY,Klinika · kunlik,Materiallar,clinic.supplies.gloves,Qoʻlqop / maska,Перчатки / маски,
14,DAILY,Klinika · kunlik,Materiallar,clinic.supplies.disinfect,Dezinfektorlar,Дезинфекторы,
15,DAILY,Klinika · kunlik,Xavfsizlik,clinic.safety.waste,Chiqindi qutilari,Мусорные ёмкости,
16,DAILY,Klinika · kunlik,Xavfsizlik,clinic.safety.syringe,Shprits utilizatsiyasi,Утилизация шприцов,
17,DAILY,Klinika · kunlik,Xavfsizlik,clinic.safety.fire,Yongʻin chiqishlari ochiq,Эвакуационные выходы,
18,DAILY,Klinika · kunlik,Xavfsizlik,clinic.safety.firstaid,Birinchi yordam toʻplami,Аптечка,
19,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.tv,TV reklama ishlayapti,ТВ реклама работает,
20,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.music,Yoʻlakdagi musiqa,Музыка в коридоре,
21,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.ac,Konditsioner / temperatura,Кондиционер / температура,
22,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.flowers,Gullar parvarishi,Уход за цветами,
23,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.odor,Yoqimsiz hid yoʻq,Нет неприятного запаха,
24,DAILY,Klinika · kunlik,Atmosfera,clinic.atmosphere.light,Yoritish normal,Освещение в норме,
25,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.arrive,Ishga 15–20 daqiqa oldin kelish,Прийти на работу за 15–20 минут до открытия,
26,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.alarm,Signalizatsiyani oʻchirish,Отключить сигнализацию (при необходимости),
27,DAILY,Administrator · kunlik,Ertalab (ochilishdan oldin),reception.morning.lights,Barcha xonalarda yorugʻlikni yoqish,Включить освещение во всех помещениях,
